Epoch  CE Train Loss  NCE Train Loss  APL Train Loss  CE Train Acc  NCE Train Acc  APL Train Acc  CE Test Acc  NCE Test Acc  APL Test Acc
1      2.158          1.196           1.763           24.112        28.148         29.132         40.1         49.91         54.18
2      2.066          1.133           1.675           28.256        33.802         34.472         49.25        57.64         59.29
3      2.044          1.116           1.652           29.866        36.094         36.86          51.71        60.71         61.67
4      2.032          1.095           1.626           30.318        37.71          38.168         51.11        62.93         64.08
5      1.962          1.061           1.560           34.804        41.324         42.234         59.83        69.07         69.5
6      1.940          1.043           1.548           36.158        42.816         43.706         61.76        70.02         70.64
7      1.925          1.038           1.536           36.902        43.716         43.976         62.42        70.33         70.94
8      1.918          1.036           1.527           37.586        44.144         44.874         61.75        70.41         71.61
9      1.890          1.016           1.512           38.986        45.652         46.076         64.35        72.77         73.46
10     1.876          1.011           1.505           39.762        46.16          46.344         64.99        72.43         73.84
11     1.871          1.007           1.497           40.12         46.462         46.95          65.71        73.67         74.19
12     1.864          1.007           1.487           40.596        46.828         47.092         66.07        73.98         74.0
