Epoch  CE Train Loss  NCE Train Loss   APL Train Loss  CE Train Acc  NCE Train Acc  APL Train Acc  CE Test Acc  NCE Test Acc  APL Test Acc
1      2.333          1.340            1.055           11.318        11.662         11.992         16.85        23.34         25.66
2      2.301          1.315            1.040           10.874        13.176         13.112         15.84        29.65         29.97
3      2.301          1.306            1.037           11.144        13.808         13.542         19.46        36.06         35.63
4      2.301          1.302            1.035           11.276        14.598         14.322         20.2         38.91         35.36
5      2.294          1.302            1.033           12.064        15.896         15.306         30.23        46.47         41.95
6      2.290          1.297            1.028           13.312        16.628         15.794         31.89        48.12         45.87
7      2.288          1.298            1.030           13.326        16.852         15.998         32.4         49.11         46.34
8      2.287          1.297            1.028           13.838        16.908         16.226         36.81        50.03         45.39
9      2.283          1.294            1.024           14.324        17.666         16.452         37.86        52.39         48.12
10     2.282          1.293            1.027           14.544        17.772         17.04          37.25        53.19         48.28
11     2.281          1.292            1.025           14.558        17.744         17.112         39.98        52.02         49.1
12     2.280          1.290            1.025           14.972        17.98          17.062         37.77        53.17         49.95
